Metabolite,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38
Glucose6P,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH4_int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,-0.2,0,0,1,0,0,0,0.01,0,0,0,0,0
ATP,-0.16666,0,-0.16666,0,0.33333,0,0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-0.25,-0.16666,0,-0.2,0,0,-1,0.26087,-0.4625,-0.489,-1.0396,-0.4,-1,-0.25,0,0
Pi,0,0,0,0,-0.33333,0,0,0,0,0,0,0.33333,0,0,0,0,0,-0.2,0,0,1,0,0.25,0.33333,0,0.2,0,0.125,0,-0.26087,0.4625,0.489,1.0396,0.4,0,0.25,0,0
Fructose6P,0,1,-1,0,0,0,0,0,0,0,0,0,0,0.6,0.66666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glyceraldehyde3P,0,0,0.5,1,-1,0,0,0,0,0,0,0,0,0,0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117,0,0,0,0,0
DihydroxyacetoneP,0,0,0.5,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3PGlycerate,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.375,0,0,0,0,0,0,0,0,0,0
Phosphoenolpyruvate,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0935,0,0,0,0,0
Pyruvate,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-0.42857,0,0,0,0,0,0,-0.75,0,0,0,0,0,0,0,0,0,-0.338,0,0,0,0,0
Acetaldehyde,0,0,0,0,0,0,0,0.66666,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Acetate,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glycerol3P,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0662,0,0,0,0
Ribose5P,0,0,0,0,0,0,0,0,0,0,0,0,0.83333,-1,-0.55555,0,0,0,0,0,0,0,0,0,0,0,0,-0.21739,0,-0.21739,-0.2544,-0.24,-0.0404,0,0,0,0,0
Erytrose4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-0.44444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0623,0,0,0,0,0
Oxaloacetate_mit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.57143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
Isocitrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85714,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_Ketoglutarate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83333,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0.04927,0,0,0,0,0
Succinate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetyl_CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.8326,0,0,0,0
CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.4163,0,0,0,0
Oxaloacetate_cit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.44444,0,0,0,0,0,0,0,0,-1,0,0
Carbohydrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167
Glutamate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-0.55555,-0.625,0,0.43478,0.4371,0.5271,-0.609,0,0,0,0,0
Glutamine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.43478,-0.4371,-0.5271,-0.2078,0,0,0,0,0
Aspartate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44444,0,0,-0.17391,-0.3313,-0.2993,-0.2153,0,0,0,0,0
Serine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,-0.13043,0,0,-0.1182,-0.1012,0,0,0,0
AICAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3913,-0.4579,-0.5112,0.0188,0,0,0,0,0
DNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0002
RNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0016
Protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0167
Lipid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0015
NADH_cit,0,0,0,0,0.33333,0,0,0,-0.5,0,-0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.1348,0.0017,0,0,0,0,0
NADH_mit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14286,0.16666,0.2,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.0742,0,0,0,-0.5,0
NADPH_cit,0,0,0,0,0,0,0,0,0,0.5,0,0,0.33333,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,-0.04348,-0.0509,-0.1136,-0.1084,-0.711,0,0,0,0
NADPH_mit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0495,0,0,0,0,0
FADH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl_FH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0842,0.0842,-0.0568,0.0165,0,0,0,0,0
Fumarate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17391,0.1278,0.1073,0.0413,0,0,0,0,0
